Description,Price,Rating,Review Count,URL,Date
"2 Pairs Men's Wool Socks, 80% Merino, Hiking Walking Thermal Athletic Socks for Winter Outdoor Recreation Trekking Climbing(UK M-L)","
                    £11.99
                   ","
                      4.4 out of 5 stars
                     ","
                    513
                   ",https://www.amazon.com/Walking-Athletic-Recreation-Trekking-Climbing/dp/B07XGK6VDJ/ref=sr_1_31?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-31,2022-10-12
"Mountain Warehouse Kids Ski Jacket & Trousers Set - Snowproof Ski Outfit, Front Pockets, Fleece Lined Skiwear, Integrated Snowskirt - Best for Winter Snowboarding","
                    £59.99
                   ","
                      4.6 out of 5 stars
                     ","
                    1,423
                   ",https://www.amazon.com/Mountain-Warehouse-Kids-Jacket-Trousers/dp/B08SKQJ5R6/ref=sr_1_32?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-32,2022-10-12
"DANISH ENDURANCE Merino Wool Performance Ski Socks, Shin Padding, for Men, Women, Kids, 1 Pack","
                      £26.95
                     ","
                        4.4 out of 5 stars
                       ","
                      3,455
                     ",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODAxMjgwNjY5Njk1NjU4OjE2NjU1NjQ2MTk6c3BfbXRmOjIwMDcwNDgxMjAzMTA4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDANISH-ENDURANCE-Alpine-Performance-Yellow%2Fdp%2FB07G4BYKTC%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2CAHDTR5AV0UH%26keywords%3DskII%26qid%3D1665564619%26qu%3DeyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%253D%253D%26sprefix%3Dskii%252Caps%252C408%26sr%3D8-33-spons%26psc%3D1,2022-10-12
AKSIUM ACCESS,"
                      £38.96
                     ","
                        4.5 out of 5 stars
                       ","
                      656
                     ",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODAxMjgwNjY5Njk1NjU4OjE2NjU1NjQ2MTk6c3BfbXRmOjIwMDgxNTY2OTkzNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FSalomon-Aksium-Goggles-Universal-L40846100%2Fdp%2FB07WKN59J7%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2CAHDTR5AV0UH%26keywords%3DskII%26qid%3D1665564619%26qu%3DeyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%253D%253D%26sprefix%3Dskii%252Caps%252C408%26sr%3D8-34-spons%26psc%3D1,2022-10-12
"JVR Blackhead Remover Mask for Men, Bamboo Charcoal Peel Off Black Mask, Purifying & Deep Cleansing for All Skin Types 120g","
                      £9.99
                     ","
                        4.0 out of 5 stars
                       ","
                      504
                     ",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODAxMjgwNjY5Njk1NjU4OjE2NjU1NjQ2MTk6c3BfbXRmOjIwMDc2NTczMzAyMzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FJVR-Blackhead-Charcoal-Purifying-Cleansing%2Fdp%2FB087JBPNT5%2Fref%3Dsr_1_35_sspa%3Fcrid%3D2CAHDTR5AV0UH%26keywords%3DskII%26qid%3D1665564619%26qu%3DeyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%253D%253D%26sprefix%3Dskii%252Caps%252C408%26sr%3D8-35-spons%26psc%3D1,2022-10-12
REN Clean Skincare Supersize Overnight Recovery Balm 50ml,"
                      £49.00
                     ",,"
                     (£98.00/100 ml)
                    ",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3ODAxMjgwNjY5Njk1NjU4OjE2NjU1NjQ2MTk6c3BfbXRmOjIwMDY4Mjg2NjY1ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FREN-Clean-Skincare-Supersize-Overnight%2Fdp%2FB09NQFPQ4N%2Fref%3Dsr_1_36_sspa%3Fcrid%3D2CAHDTR5AV0UH%26keywords%3DskII%26qid%3D1665564619%26qu%3DeyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%253D%253D%26smid%3DA3P5ROKL5A1OLE%26sprefix%3Dskii%252Caps%252C408%26sr%3D8-36-spons%26psc%3D1,2022-10-12
Blulu Ski Mask Winter Balaclava Ski Mask Warm Full Face Ski Mask Thermal Men Ski Mask 3 Hole Knit Face Mask for Outdoor Sports,"
                    £7.59
                   ","
                      3.9 out of 5 stars
                     ","
                    92
                   ",https://www.amazon.com/Winter-Balaclava-Thermal-3-Hole-Outdoor/dp/B09J16SXYJ/ref=sr_1_37?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-37,2022-10-12
"coskefy Thermal Gloves, -20℉ Coldproof Touchscreen Ski Gloves Waterproof Winter Gloves 3M Thinsulate Snow Gloves for Walking Snowboarding Hiking Outdoor","
                    £11.04
                   ","
                      4.5 out of 5 stars
                     ","
                    1,967
                   ",https://www.amazon.com/coskefy-Thermal-Thinsulate-Touchscreen-Snowboarding/dp/B07HGQMK4H/ref=sr_1_38?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&smid=A3PNIR7C4EEUQS&sprefix=skii%2Caps%2C408&sr=8-38,2022-10-12
BODY ARMOUR CE MOTORBIKE/MOTORCYCLE/MOTOCROSS SKIING SKATING SNOW BOARD IMPACT PADDED SPINE GUARD PROTECTIVE SUIT (M),"
                    £49.99
                   ","
                      3.5 out of 5 stars
                     ","
                    8
                   ",https://www.amazon.com/ARMOUR-MOTORBIKE-MOTORCYCLE-MOTOCROSS-PROTECTIVE/dp/B07DCFMPB3/ref=sr_1_39?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-39,2022-10-12
4 Pairs of Mens High Performance Thermal Ski Socks-Assorted-UK 6 - 11 ( Eur 39 - 45 ),"
                    £12.95
                   ","
                      4.5 out of 5 stars
                     ","
                    4,028
                   ",https://www.amazon.com/Pairs-Mens-Performance-Thermal-Socks-Assorted-UK/dp/B01N59WFGI/ref=sr_1_40?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-40,2022-10-12
